batch,send_order,organisation,contact_name,role,email,category,segment,template_id,location,state,source_url,status,sent_date,follow_up_date,notes
batch-02-gp-aboriginal-health,30,Palmerston GP Super Clinic,,,contact@palmerstongpsuperclinic.com.au,GP clinic,gp-practice,gp-practice,Farrar,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/farrar-0830-nt/palmerston-gp-super-clinic/influenza-flu-vaccine/3eef84fc-3f1b-4de2-ac57-e2cbab181d02,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,31,Top End Medical Centre Gateway,,,admingw@topendmedicalcentre.com.au,GP clinic,gp-practice,gp-practice,Yarrawonga,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-0830-nt/top-end-medical-centre-gateway/gp-general-practice/87319220-71c7-38f8-44aa-9c77b56c1891,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,32,Bakewell Medical Centre,,,admin@bakewellmc.com.au,GP clinic,gp-practice,gp-practice,Bakewell,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/bakewell-0832-nt/bakewell-medical-centre/gp-general-practice/9db9e62d-2543-c07e-6bc1-8c8cd626d4c3,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,33,Coolalinga Family Practice,,,reception@coolalingafp.com.au,GP clinic,gp-practice,gp-practice,Coolalinga,NT,https://www.coolalingafp.com.au/contact-us/,ready_for_review,,,Public practice contact page
batch-02-gp-aboriginal-health,34,Bauhinia Health,,,admin@bauhinia.com.au,GP clinic,gp-practice,gp-practice,Katherine,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/katherine-0850-nt/bauhinia-health/gp-general-practice/6cd8f6e1-5f98-4867-8b54-fffdd7d85cd5,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,35,Wurli-Wurlinjang Health Service,,,wurli@wurli.org.au,Aboriginal health / GP clinic,aboriginal-health,gp-practice,Katherine,NT,https://www.wurli.org.au/contact/,ready_for_review,,,Public organisation contact page
batch-02-gp-aboriginal-health,36,Anyinginyi Health Centre - Parlpuru Ninji-Kari,,,hss_reception@anyinginyi.com.au,Aboriginal health / GP clinic,aboriginal-health,gp-practice,Tennant Creek,NT,https://www.anyinginyi.org.au/contact-us,ready_for_review,,,Public organisation contact page
batch-02-gp-aboriginal-health,37,Anyinginyi Health Aboriginal Corporation,,,bss_reception@anyinginyi.com.au,Aboriginal health / GP clinic,aboriginal-health,gp-practice,Tennant Creek,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/tennant-creek-0860-nt/anyinginyi-health-aboriginal-corporation/gp-general-practice/9782ddf3-ffb5-7715-e7c2-0b9058c31420,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,38,Anyinginyi Allied Health Dental and Eye,,,allied_reception@anyinginyi.com.au,Aboriginal health / allied health,aboriginal-health,gp-practice,Tennant Creek,NT,https://www.anyinginyi.org.au/contact-us,ready_for_review,,,Public organisation contact page
batch-02-gp-aboriginal-health,39,Anyinginyi Stronger Families,,,psf_reception@anyinginyi.com.au,Aboriginal health / family support,aboriginal-health,gp-practice,Tennant Creek,NT,https://www.anyinginyi.org.au/contact-us,ready_for_review,,,Public organisation contact page
batch-02-gp-aboriginal-health,40,Miwatj Health Aboriginal Corporation,,,execsec@miwatj.com.au,Aboriginal health organisation,aboriginal-health,gp-practice,Nhulunbuy,NT,https://www.miwatj.com.au/contact/,ready_for_review,,,Public organisation contact page
batch-02-gp-aboriginal-health,41,Miwatj Health Aboriginal Corporation - Nhulunbuy Clinic,,,nhulunbuyclinicadmin@miwatj.com.au,Aboriginal health / GP clinic,aboriginal-health,gp-practice,Nhulunbuy,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/nhulunbuy-0880-nt/miwatj-health-aboriginal-corporation-nhulunbuy/general-practice-service/dab0368f-9411-315b-bd24-f29e72214e11,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,42,AMSANT,,,reception@amsant.org.au,Aboriginal health peak body,aboriginal-health,gp-practice,Darwin,NT,https://www.cotant.org.au/information/indigenous-services/,ready_for_review,,,Public directory listing
batch-02-gp-aboriginal-health,46,Howard Springs Medical Centre,,,admin@hsmed.com.au,GP clinic,gp-practice,gp-practice,Howard Springs,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/howard-springs-0835-nt/howard-springs-medical-centre/gp-general-practice/b3e5d91c-0a94-487a-a3c7-545584367c8b,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,47,Arafura Medical - Zuccoli,,,info@arafuramedical.com.au,GP clinic,gp-practice,gp-practice,Zuccoli,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/zuccoli-0832-nt/arafura-medical-clinic-zuccoli/gp-general-practice/16a86179-98a9-4217-bc91-6879b882dd14,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,48,Zuccoli Medical Centre,,,reception@zuccolimedical.com.au,GP clinic,gp-practice,gp-practice,Zuccoli,NT,https://zuccolimedical.com.au/contact-us/,ready_for_review,,,Public practice contact page
batch-02-gp-aboriginal-health,49,Top End Medical Centre Rosebery,,,adminrb@topendmedicalcentre.com.au,GP clinic,gp-practice,gp-practice,Rosebery,NT,https://www.topendmedicalcentre.com.au/,ready_for_review,,,Public practice website
batch-02-gp-aboriginal-health,50,Top End Medical Centre Casuarina,,,admin@topendmedicalcentre.com.au,GP clinic,gp-practice,gp-practice,Casuarina,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/casuarina-0810-nt/top-end-medical-centre-casuarina/gp-general-practice/0c3be693-bc02-459f-2531-51801dc83da7,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,51,Top End Medical Centre Stuart Park,,,adminsp@topendmedicalcentre.com.au,GP clinic,gp-practice,gp-practice,Stuart Park,NT,https://www.topendmedicalcentre.com.au/contact-us/,ready_for_review,,,Public practice contact page
