organisation,type,location,email,phone,source_url,notes
NT Kidney Clinic,Specialist practice,Darwin,admin@ntkidneyclinic.com,,https://darwinprivatehospital.com.au/application/files/8016/6476/1256/Darwin_Directory_A4_0922.pdf,Public Darwin Private Hospital specialist directory
MediClinic,GP clinic,Darwin City,mediclinicreception@gmail.com,08 7970 0793,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-city-0800-nt/mediclinic/gp-general-practice/b8b31fb6-3ce6-4cf7-9d55-a865535157ab,Healthdirect public listing
Territory Medical Group Mitchell,GP clinic,Darwin City,admin@territorymedical.com,08 8948 4333,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-city-0800-nt/territory-medical-group-mitchell/gp-general-practice/8364134d-ec00-8769-afe9-f02c827eafbf,Healthdirect public listing
Cavenagh Medical Centre,GP clinic,Darwin City,cmcadmin@cavenaghmedical.com.au,08 8981 8566,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-0800-nt/cavenagh-medical-centre/gp-general-practice/2f88a331-f8e8-a927-b507-b58db3c972f0,Healthdirect public listing
Danila Dilba - Knuckey Street Clinic,Aboriginal health / GP clinic,Darwin City,dar.fax@ddhs.org.au,08 8942 5444,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-city-0800-nt/danila-dilba-knuckey-street-clinic/gp-general-practice/1a96c315-1dda-75ec-f8ad-192d73989d37,Healthdirect public listing
Carepoint Medical Centre Darwin,GP clinic,Casuarina,carepointreception@gmail.com,08 8920 5555,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/casuarina-0810-nt/carepoint-medical-clinic/general-practice-service/6da8720c-7253-fd55-815a-6a4e0d746105,Healthdirect public listing
Pandanus Medical NT,GP clinic,Millner,reception@pandanusmedicalnt.com.au,08 8945 2488,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/millner-0810-nt/pandanus-medical-nt/general-practice-service/46c40c8e-b79c-e4dc-64d0-c98dcd91083e,Healthdirect public listing
Oasis Medical,GP clinic,Palmerston City,reception@oasismedical.com.au,08 8932 4333,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-city-0830-nt/oasis-medical/gp-general-practice/4a1be291-115a-43cf-bfa1-d087d6e99eb5,Healthdirect public listing
Danila Dilba - Palmerston Clinic,Aboriginal health / GP clinic,Palmerston City,pal.fax@ddhs.org.au,08 8942 5400,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-0830-nt/danila-dilba-palmerston-clinic/gp-general-practice/1a0c9048-8127-dd9f-7877-51b912912a78,Healthdirect public listing
Palmerston Medical Clinic,GP clinic,Palmerston City,palmmed@pmcgp.com.au,08 8932 5100,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-city-0830-nt/palmerston-medical-clinic/children-s-medical-service/72544ec4-1c0a-3cbf-0cab-7727d2fbeb7a,Healthdirect public listing
Palmerston GP Super Clinic,GP clinic,Farrar,contact@palmerstongpsuperclinic.com.au,08 8919 8919,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/farrar-0830-nt/palmerston-gp-super-clinic/influenza-flu-vaccine/3eef84fc-3f1b-4de2-ac57-e2cbab181d02,Healthdirect public listing
Top End Medical Centre Gateway,GP clinic,Yarrawonga,admingw@topendmedicalcentre.com.au,07 9922 8000,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-0830-nt/top-end-medical-centre-gateway/gp-general-practice/87319220-71c7-38f8-44aa-9c77b56c1891,Healthdirect public listing
Bakewell Medical Centre,GP clinic,Bakewell,admin@bakewellmc.com.au,08 7979 1765,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/bakewell-0832-nt/bakewell-medical-centre/gp-general-practice/9db9e62d-2543-c07e-6bc1-8c8cd626d4c3,Healthdirect public listing
Coolalinga Family Practice,GP clinic,Coolalinga,reception@coolalingafp.com.au,08 7936 8696,https://www.coolalingafp.com.au/contact-us/,Public practice contact page
Bauhinia Health,GP clinic,Katherine,admin@bauhinia.com.au,08 7903 2100,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/katherine-0850-nt/bauhinia-health/gp-general-practice/6cd8f6e1-5f98-4867-8b54-fffdd7d85cd5,Healthdirect public listing
Wurli-Wurlinjang Health Service,Aboriginal health / GP clinic,Katherine,wurli@wurli.org.au,08 8972 9100,https://www.wurli.org.au/contact/,Public organisation contact page
Anyinginyi Health Centre - Parlpuru Ninji-Kari,Aboriginal health / GP clinic,Tennant Creek,hss_reception@anyinginyi.com.au,08 8962 2633,https://www.anyinginyi.org.au/contact-us,Public organisation contact page
Anyinginyi Health Aboriginal Corporation,Aboriginal health / GP clinic,Tennant Creek,bss_reception@anyinginyi.com.au,08 8962 2633,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/tennant-creek-0860-nt/anyinginyi-health-aboriginal-corporation/gp-general-practice/9782ddf3-ffb5-7715-e7c2-0b9058c31420,Healthdirect public listing
Anyinginyi Allied Health Dental and Eye,Aboriginal health / allied health,Tennant Creek,allied_reception@anyinginyi.com.au,08 8962 2633,https://www.anyinginyi.org.au/contact-us,Public organisation contact page
Anyinginyi Stronger Families,Aboriginal health / family support,Tennant Creek,psf_reception@anyinginyi.com.au,08 8962 2633,https://www.anyinginyi.org.au/contact-us,Public organisation contact page
Miwatj Health Aboriginal Corporation,Aboriginal health organisation,Nhulunbuy,execsec@miwatj.com.au,08 8939 1900,https://www.miwatj.com.au/contact/,Public organisation contact page
Miwatj Health Aboriginal Corporation - Nhulunbuy Clinic,Aboriginal health / GP clinic,Nhulunbuy,nhulunbuyclinicadmin@miwatj.com.au,08 8939 1999,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/nhulunbuy-0880-nt/miwatj-health-aboriginal-corporation-nhulunbuy/general-practice-service/dab0368f-9411-315b-bd24-f29e72214e11,Healthdirect public listing
AMSANT,Aboriginal health peak body,Darwin,reception@amsant.org.au,08 8944 6666,https://www.cotant.org.au/information/indigenous-services/,Public directory listing
NT Health Consumer Feedback,NT Health system,NT,Feedback.Health@nt.gov.au,08 8922 6836,https://nt.gov.au/wellbeing/hospitals-health-services/friends-nt-health,Public NT Government contact
Royal Darwin Hospital Transport Service,Hospital service,Darwin,tepts.ths@nt.gov.au,08 8922 6777,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/services-at-royal-darwin-hospital?SQ_PAINT_LAYOUT_NAME=multi&curr=171981&print=yes,Public NT Government service contact
Darwin Private Hospital,Private hospital,Tiwi,darwinprivatehospital@healthscope.com.au,08 8920 6011,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/tiwi-0810-nt/darwin-private-hospital/hospitals/cdd77232-195f-4446-fd5d-1d75fbfa4416,Healthdirect public listing
Howard Springs Medical Centre,GP clinic,Howard Springs,admin@hsmed.com.au,08 8983 1414,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/howard-springs-0835-nt/howard-springs-medical-centre/gp-general-practice/b3e5d91c-0a94-487a-a3c7-545584367c8b,Healthdirect public listing
Arafura Medical - Zuccoli,GP clinic,Zuccoli,info@arafuramedical.com.au,08 7922 8444,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/zuccoli-0832-nt/arafura-medical-clinic-zuccoli/gp-general-practice/16a86179-98a9-4217-bc91-6879b882dd14,Healthdirect public listing
Zuccoli Medical Centre,GP clinic,Zuccoli,reception@zuccolimedical.com.au,08 7922 8444,https://zuccolimedical.com.au/contact-us/,Public practice contact page
Top End Medical Centre Rosebery,GP clinic,Rosebery,adminrb@topendmedicalcentre.com.au,08 8997 6500,https://www.topendmedicalcentre.com.au/,Public practice website
Top End Medical Centre Casuarina,GP clinic,Casuarina,admin@topendmedicalcentre.com.au,08 8995 7900,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/casuarina-0810-nt/top-end-medical-centre-casuarina/gp-general-practice/0c3be693-bc02-459f-2531-51801dc83da7,Healthdirect public listing
Top End Medical Centre Stuart Park,GP clinic,Stuart Park,adminsp@topendmedicalcentre.com.au,08 8930 4900,https://www.topendmedicalcentre.com.au/contact-us/,Public practice contact page
